Timestamp,stateEstimate.ax,stateEstimate.ay,stateEstimate.az,stateEstimate.pitch,stateEstimate.roll,stateEstimate.yaw
24336,-0.025056172162294388,0.03028285689651966,-0.0018751025199890137,-0.6381648778915405,0.6536120176315308,-0.029483793303370476
24436,-0.02193029783666134,0.03162549436092377,-0.0010025501251220703,-0.6372174024581909,0.659330427646637,-0.03355022147297859
24536,-0.024452870711684227,0.030465412884950638,-0.0008211135864257812,-0.6310256719589233,0.6372378468513489,-0.030695302411913872
24636,-0.02280600741505623,0.02924313396215439,-0.0017784833908081055,-0.6143704652786255,0.62012779712677,-0.03196542710065842
24736,-0.022740688174962997,0.030409082770347595,0.0015304088592529297,-0.6722170114517212,0.7028189301490784,-0.03228851780295372
24836,-0.025270644575357437,0.02914222702383995,-0.0011168122291564941,-0.657014012336731,0.6770740747451782,-0.031473565846681595
24936,-0.022710874676704407,0.029886260628700256,-0.0022649765014648438,-0.6176726818084717,0.6200305819511414,-0.029466474428772926
25036,-0.024434899911284447,0.030482765287160873,0.0018987655639648438,-0.648958146572113,0.6567397117614746,-0.026307163760066032
25136,-0.026265816763043404,0.03118668496608734,-0.0016158223152160645,-0.596883237361908,0.5857416987419128,-0.025373993441462517
25236,-0.0241262074559927,0.0312061570584774,-0.001781761646270752,-0.5728744268417358,0.5468515157699585,-0.023668885231018066
25336,-0.02412365935742855,0.03205667436122894,0.0008934736251831055,-0.6309830546379089,0.6062099933624268,-0.023813670501112938
25436,-0.02510657347738743,0.029881510883569717,-0.0002194046974182129,-0.6221542954444885,0.5919511914253235,-0.024406826123595238
25536,-0.019114840775728226,0.0321195088326931,1.4066696166992188e-05,-0.6314122080802917,0.59168940782547,-0.02401348389685154
25636,-0.02484763041138649,0.0318998321890831,-0.0020308494567871094,-0.5858258605003357,0.5333622097969055,-0.02712327241897583
25736,-0.025172272697091103,0.03109673783183098,0.00024437904357910156,-0.6159956455230713,0.5696280598640442,-0.02745496854186058
25836,-0.023566586896777153,0.0323776975274086,-0.0011777281761169434,-0.6242690682411194,0.5741040110588074,-0.027962924912571907
25936,-0.02283152937889099,0.032119616866111755,-0.001142263412475586,-0.6214282512664795,0.5636686682701111,-0.026387860998511314
26036,-0.02207489125430584,0.030976107344031334,0.001049041748046875,-0.6160669922828674,0.5622351765632629,-0.025239132344722748
26136,-0.028286103159189224,0.033304017037153244,0.0020946264266967773,-0.5974520444869995,0.5397078990936279,-0.025194136425852776
26236,-0.02492501586675644,0.03101150318980217,-0.001140892505645752,-0.6246559619903564,0.5706025958061218,-0.024603446945548058
26336,-0.022033769637346268,0.030484039336442947,-0.0029621124267578125,-0.6126397252082825,0.56318598985672,-0.02659105882048607
26436,-0.023340117186307907,0.031204184517264366,-0.0017893314361572266,-0.6111723780632019,0.5607571601867676,-0.021492160856723785
26536,-0.021759141236543655,0.03215523064136505,-0.0004023313522338867,-0.6202175617218018,0.5677320957183838,-0.024971304461359978
26636,-0.02346394583582878,0.030146196484565735,0.0007642507553100586,-0.6408165693283081,0.5796986222267151,-0.020280959084630013
26736,-0.022837093099951744,0.031099969521164894,-0.0007387995719909668,-0.6595821380615234,0.5973403453826904,-0.019394779577851295
26836,-0.02291136607527733,0.0323176234960556,0.00040209293365478516,-0.6431781649589539,0.5781669616699219,-0.018998218700289726
26936,-0.023257359862327576,0.030692951753735542,-0.0012704133987426758,-0.6218439936637878,0.5555023550987244,-0.021978110074996948
27036,-0.023529700934886932,0.030508607625961304,-0.00030684471130371094,-0.6251102685928345,0.5569689273834229,-0.02190711721777916
27136,-0.02399594523012638,0.03087330423295498,-0.0008301138877868652,-0.6467230916023254,0.5916942358016968,-0.024184102192521095
27236,-0.02264791913330555,0.030896225944161415,-0.002287566661834717,-0.6468227505683899,0.6009249687194824,-0.0224501583725214
27336,-0.023458028212189674,0.03220914676785469,-0.00027376413345336914,-0.6351372003555298,0.583947479724884,-0.023664886131882668
27436,-0.022972846403717995,0.03148059919476509,-0.000865936279296875,-0.6074838638305664,0.5574593544006348,-0.02441430650651455
27536,-0.0266086645424366,0.03196439892053604,-0.0002117156982421875,-0.5667809247970581,0.5226904153823853,-0.025798050686717033
27636,-0.023773273453116417,0.033657658845186234,0.0011674165725708008,-0.5680559277534485,0.526115894317627,-0.028825130313634872
27736,-0.020495252683758736,0.03195025399327278,0.0008848905563354492,-0.6154981255531311,0.5702605843544006,-0.026665182784199715
27836,-0.03431167080998421,0.020054437220096588,0.003558635711669922,-0.6220052242279053,0.5594183802604675,-0.01621546782553196
27936,0.006012987811118364,-0.018361134454607964,-0.002653956413269043,-0.7438327074050903,0.5331164002418518,-0.03130205348134041
28036,-0.02194288559257984,-0.010398948565125465,0.23656868934631348,0.2022203505039215,0.3925861716270447,0.37761154770851135
28136,-0.0466635562479496,0.022038346156477928,0.2211165428161621,1.9041236639022827,-0.8065899610519409,1.418302059173584
28236,-0.044523511081933975,0.035369474440813065,0.15622901916503906,1.8740352392196655,-1.253934383392334,2.0343494415283203
28336,-0.04203493893146515,0.02381908893585205,0.1288590431213379,2.0206332206726074,-0.7455022931098938,2.3597097396850586
28436,-0.1826784312725067,0.012166026048362255,0.09961295127868652,8.83464241027832,-0.5060800909996033,2.574913740158081
28536,-0.27461087703704834,0.009367506951093674,0.069366455078125,13.875617027282715,-0.8291796445846558,3.067781925201416
28636,-0.3051082193851471,0.01063122134655714,0.052593111991882324,15.966694831848145,-1.027765154838562,3.470933675765991
28736,-0.25804921984672546,0.010973636992275715,0.05975210666656494,13.837839126586914,-1.1209886074066162,3.5463051795959473
28836,-0.05038650706410408,0.040353670716285706,0.09105217456817627,3.5937576293945312,-1.596760869026184,3.6168053150177
28936,0.1734173446893692,0.06456799060106277,0.08654356002807617,-7.6659979820251465,-1.8123348951339722,3.670138359069824
29036,0.335126668214798,0.05536605417728424,0.04492533206939697,-16.48858070373535,-1.0702793598175049,3.968717098236084
29136,0.3381093442440033,0.048565417528152466,0.02432096004486084,-17.572572708129883,-0.5490047335624695,4.686907768249512
29236,0.16119596362113953,0.041174858808517456,0.06395483016967773,-9.337634086608887,-0.40567746758461,5.864441871643066
29336,0.03561544790863991,0.03390565887093544,-0.04475271701812744,-3.6628103256225586,-1.1500153541564941,9.08951473236084
29436,-0.029666617512702942,0.14553821086883545,-0.27833205461502075,-1.5378038883209229,-10.013970375061035,11.324461936950684
29536,-0.0605546236038208,0.20386572182178497,-0.383281409740448,-0.30326831340789795,-17.016952514648438,12.014479637145996
29636,-0.06897573918104172,0.2152407020330429,-0.39766716957092285,0.16087733209133148,-20.156658172607422,12.400200843811035
29736,-0.07978096604347229,0.2935906946659088,-0.2044634222984314,0.4926820695400238,-21.22391128540039,13.040441513061523
29836,-0.0838889628648758,0.22381137311458588,-0.039544880390167236,0.6984748840332031,-14.752820014953613,13.777159690856934
29936,-0.05216686427593231,0.07428795099258423,0.06950008869171143,1.0457465648651123,-6.134720802307129,14.334452629089355
30036,-0.039940595626831055,0.0022833000402897596,0.12966108322143555,1.2946780920028687,-2.265686511993408,14.640122413635254
30136,-0.04020952060818672,-0.021361352875828743,0.09515810012817383,1.469725489616394,-0.5297735333442688,15.01988410949707
30236,-0.03900834545493126,-0.038418885320425034,0.04461359977722168,1.8283710479736328,0.18867641687393188,15.484006881713867
30336,-0.06664201617240906,-0.055081866681575775,0.022290825843811035,3.5428545475006104,0.31863999366760254,15.890421867370605
30436,-0.07924569398164749,-0.053115203976631165,0.03445267677307129,4.2129011154174805,0.6630017757415771,16.174480438232422
30536,-0.0593445748090744,-0.07929646968841553,-0.1575249433517456,4.444350719451904,2.643676280975342,16.502431869506836
30636,-0.009135634638369083,-0.1967456191778183,-0.3372635841369629,5.084944248199463,15.318840980529785,16.720170974731445
30736,0.010865955613553524,-0.26011019945144653,-0.3867117166519165,5.671124458312988,22.722997665405273,16.91246795654297
30836,0.026948578655719757,-0.41172224283218384,-0.15109890699386597,6.220062732696533,26.580747604370117,17.199251174926758
30936,0.04112251102924347,-0.474764883518219,-0.012963533401489258,6.443995952606201,27.445598602294922,17.514741897583008
31036,0.04397950693964958,-0.4818478524684906,0.03300893306732178,6.596938133239746,27.910207748413086,18.0743408203125
31136,0.036609675735235214,-0.45414742827415466,0.04818570613861084,6.517834186553955,27.28095817565918,18.528409957885742
31236,0.0431167334318161,-0.42881157994270325,0.04977774620056152,6.522256374359131,27.17837905883789,18.907114028930664
31336,0.04050344228744507,-0.390841007232666,0.05856931209564209,6.165533065795898,26.382949829101562,18.862506866455078
31436,0.03749164566397667,-0.337603360414505,0.0614018440246582,5.718029975891113,25.45868682861328,18.319847106933594
31536,0.027932126075029373,-0.3063245117664337,0.05876576900482178,5.645105361938477,24.71401023864746,17.841073989868164
31636,0.0218094140291214,-0.28592997789382935,0.05077826976776123,5.601379871368408,24.877838134765625,16.840850830078125
31736,0.006191515829414129,-0.26909807324409485,0.04623210430145264,5.520420074462891,24.721338272094727,15.593377113342285
31836,-0.008593715727329254,-0.2506507635116577,0.045040011405944824,5.492454528808594,24.824129104614258,14.1243257522583
31936,-0.047799400985240936,0.010592042468488216,0.21446168422698975,3.4181947708129883,9.91900634765625,12.43626880645752
32036,-0.0811493992805481,0.4597259759902954,0.2136528491973877,1.1834689378738403,-11.985631942749023,10.909276962280273
32136,-0.10600727796554565,0.7240564227104187,0.09607887268066406,-0.3691381514072418,-27.60329246520996,10.952105522155762
32236,-0.10167829692363739,0.7991300821304321,-0.0176774263381958,-2.0406813621520996,-34.27204132080078,11.496369361877441
32336,-0.10570922493934631,0.7803035378456116,-0.06931090354919434,-2.1231448650360107,-35.49530792236328,12.11369800567627
