Timestamp,ctrltarget.ax,ctrltarget.ay,ctrltarget.az,ctrltarget.pitch,ctrltarget.roll,ctrltarget.yaw
119637,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
119737,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
119837,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
119937,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
120037,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
120137,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
120237,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
120337,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
120437,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
120537,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
120637,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
120737,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
120837,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
120937,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
121037,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
121137,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
121237,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
121337,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
121437,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
121537,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
121637,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
121737,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
121837,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
121937,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
122037,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
122137,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
122237,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
122337,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
122437,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
122537,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
122637,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
122737,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
122837,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
122937,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
123037,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
123137,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
123237,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
123337,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
123437,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
123537,0.0,0.0,0.0,0.0,0.0,0.0
123637,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
123737,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
123837,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
123937,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
124037,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
124137,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
124237,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
124337,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
124437,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
124537,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
124637,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
124737,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
124837,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
124937,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
125037,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
125137,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
125237,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
125337,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
125437,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
125537,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
125637,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
125737,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
125837,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
125937,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
126037,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
126137,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
126237,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
126337,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
126437,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
126537,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
126637,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
126737,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
126837,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
126937,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
127037,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
127137,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
127237,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
127337,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
127437,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
127537,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
127637,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
127737,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
127837,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
127937,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
128037,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
128137,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
128237,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
128337,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
128437,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
128537,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
128637,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
128737,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
