timestamp_ms,block,ranging.distance0,ranging.distance1,ranging.distance2,ranging.distance3,ranging.state,ranging.distance4,ranging.distance5,ranging.distance6,ranging.distance7,stateEstimate.x,stateEstimate.y,stateEstimate.z
571597,position,,,,,,,,,,1.0327397584915161,0.02179822325706482,0.16278493404388428
571695,loco_twr_0-3,0.0,0.0,0.0,0.0,0,,,,,,,
571696,loco_twr_4-7,,,,,,0.0,0.0,0.0,0.0,,,
571697,position,,,,,,,,,,1.0304266214370728,0.015195663087069988,0.14976806938648224
571797,position,,,,,,,,,,1.0227419137954712,0.021481523290276527,0.14523349702358246
571895,loco_twr_0-3,0.0,0.0,0.0,0.0,0,,,,,,,
571896,loco_twr_4-7,,,,,,0.0,0.0,0.0,0.0,,,
571897,position,,,,,,,,,,1.0075018405914307,0.014309545047581196,0.13589945435523987
571997,position,,,,,,,,,,1.0118507146835327,0.026519889011979103,0.13791680335998535
572095,loco_twr_0-3,0.0,0.0,0.0,0.0,0,,,,,,,
