timestamp_ms,block,ranging.distance0,ranging.distance1,ranging.distance2,ranging.distance3,ranging.state,ranging.distance4,ranging.distance5,ranging.distance6,ranging.distance7,stateEstimate.x,stateEstimate.y,stateEstimate.z
356487,position,,,,,,,,,,0.1098991334438324,0.06234593316912651,0.3171044886112213
356587,position,,,,,,,,,,0.0986640602350235,0.05149644985795021,0.3200069069862366
356687,position,,,,,,,,,,0.09025513380765915,0.06240252032876015,0.2983998656272888
356787,position,,,,,,,,,,0.08556974679231644,0.0632774606347084,0.30283206701278687
356887,position,,,,,,,,,,0.0835161879658699,0.06707565486431122,0.2980106472969055
356987,position,,,,,,,,,,0.1011519506573677,0.07113383710384369,0.3171299397945404
357087,position,,,,,,,,,,0.10506084561347961,0.06631280481815338,0.3044828474521637
357187,position,,,,,,,,,,0.11533131450414658,0.0701933279633522,0.3063761591911316
357287,position,,,,,,,,,,0.11682343482971191,0.061238791793584824,0.3066215217113495
357385,loco_twr_0-3,0.0,0.0,0.0,0.0,0,,,,,,,
357386,loco_twr_4-7,,,,,,0.0,0.0,0.0,0.0,,,
357387,position,,,,,,,,,,0.11930099874734879,0.06367620080709457,0.30868029594421387
357487,position,,,,,,,,,,0.11076569557189941,0.06624884158372879,0.3109785318374634
357587,position,,,,,,,,,,0.1214667484164238,0.054877281188964844,0.31438717246055603
357687,position,,,,,,,,,,0.11209149658679962,0.04673982411623001,0.3059728741645813
357787,position,,,,,,,,,,0.11831396818161011,0.05197421833872795,0.30943623185157776
357887,position,,,,,,,,,,0.1256549209356308,0.06101631745696068,0.3150612711906433
357987,position,,,,,,,,,,0.12030623853206635,0.06484554708003998,0.32479730248451233
