timestamp_ms,block,ranging.distance0,ranging.distance1,ranging.distance2,ranging.distance3,ranging.state,ranging.distance4,ranging.distance5,ranging.distance6,ranging.distance7,stateEstimate.x,stateEstimate.y,stateEstimate.z
46685,position,,,,,,,,,,-14.789481163024902,-2.5650222301483154,3.0006890296936035
46785,position,,,,,,,,,,-14.948114395141602,-2.554976463317871,3.020859479904175
46885,position,,,,,,,,,,-15.107953071594238,-2.5448014736175537,3.0411415100097656
46985,position,,,,,,,,,,-15.26896858215332,-2.5344507694244385,3.0615785121917725
47085,position,,,,,,,,,,-15.43122386932373,-2.5239410400390625,3.082097053527832
47185,position,,,,,,,,,,-15.594770431518555,-2.513326644897461,3.1027708053588867
47285,position,,,,,,,,,,-15.759604454040527,-2.502641439437866,3.12353253364563
47385,position,,,,,,,,,,-15.925735473632812,-2.4918785095214844,3.1443862915039062
47485,position,,,,,,,,,,-16.093135833740234,-2.481031894683838,3.1653337478637695
47584,loco_twr_0-3,0.0,0.0,0.0,0.0,0,,,,,,,
47585,loco_twr_4-7,,,,,,0.0,0.0,0.0,0.0,,,
47585,position,,,,,,,,,,-16.2618408203125,-2.470104217529297,3.1863932609558105
47685,position,,,,,,,,,,-16.43183708190918,-2.4590845108032227,3.2075955867767334
47785,position,,,,,,,,,,-16.603090286254883,-2.4480183124542236,3.228874444961548
47885,position,,,,,,,,,,-16.775686264038086,-2.4368443489074707,3.2502434253692627
47985,position,,,,,,,,,,-16.94963264465332,-2.4255564212799072,3.2717068195343018
48085,position,,,,,,,,,,-17.12493896484375,-2.4141685962677,3.293363571166992
48185,position,,,,,,,,,,-17.301563262939453,-2.402768850326538,3.3152215480804443
48285,position,,,,,,,,,,-17.479557037353516,-2.3914060592651367,3.3372533321380615
48385,position,,,,,,,,,,-17.658985137939453,-2.3800160884857178,3.359452247619629
48485,position,,,,,,,,,,-17.83986473083496,-2.368637800216675,3.381791114807129
48584,loco_twr_0-3,0.0,0.0,0.0,0.0,0,,,,,,,
48585,loco_twr_4-7,,,,,,0.0,0.0,0.0,0.0,,,
48585,position,,,,,,,,,,-18.022218704223633,-2.357285976409912,3.4042279720306396
48685,position,,,,,,,,,,-18.20608139038086,-2.345836877822876,3.4267594814300537
48785,position,,,,,,,,,,-18.391357421875,-2.334346294403076,3.4494035243988037
48885,position,,,,,,,,,,-18.57805633544922,-2.322859525680542,3.4721479415893555
48985,position,,,,,,,,,,-18.766244888305664,-2.311367988586426,3.4950509071350098
49085,position,,,,,,,,,,-18.9559268951416,-2.2998876571655273,3.518141031265259
49185,position,,,,,,,,,,-19.147056579589844,-2.288402795791626,3.541335344314575
49285,position,,,,,,,,,,-19.339677810668945,-2.2769289016723633,3.56463885307312
49385,position,,,,,,,,,,-19.53378677368164,-2.2654149532318115,3.5880024433135986
49485,position,,,,,,,,,,-19.729413986206055,-2.253929615020752,3.6115336418151855
49584,loco_twr_0-3,0.0,0.0,0.0,0.0,0,,,,,,,
49585,loco_twr_4-7,,,,,,0.0,0.0,0.0,0.0,,,
49585,position,,,,,,,,,,-19.92656898498535,-2.242445230484009,3.6352016925811768
49685,position,,,,,,,,,,-20.1252498626709,-2.2309818267822266,3.65899920463562
49785,position,,,,,,,,,,-20.325458526611328,-2.219560384750366,3.6828808784484863
49885,position,,,,,,,,,,-20.52715492248535,-2.208176374435425,3.706843137741089
49985,position,,,,,,,,,,-20.73041343688965,-2.196786880493164,3.730950355529785
50085,position,,,,,,,,,,-20.935226440429688,-2.185424327850342,3.755288600921631
50185,position,,,,,,,,,,-21.141611099243164,-2.174102306365967,3.7797675132751465
50285,position,,,,,,,,,,-21.349597930908203,-2.1628100872039795,3.80437970161438
50385,position,,,,,,,,,,-21.5592041015625,-2.1515567302703857,3.8290417194366455
50485,position,,,,,,,,,,-21.770395278930664,-2.140308380126953,3.8538527488708496
50584,loco_twr_0-3,0.0,0.0,0.0,0.0,0,,,,,,,
50585,loco_twr_4-7,,,,,,0.0,0.0,0.0,0.0,,,
50585,position,,,,,,,,,,-21.983144760131836,-2.129072666168213,3.87878155708313
